,date,contents,city,city_in_disaster
75,2020-08-04T10:56:21.000Z,Liking my message is not a Response!,beirut,1
76,2020-08-04T20:27:50.000Z,Those rich celebrities should donate some of their money instead of praying on inatagram,beirut,1
77,2020-08-04T23:37:36.000Z,"Tonight we mourn Beirut
Tonight we mourn our city 
We mourn our families
Friends
Colleagues 

Tears of acid 
Burning capillaries 
Our hearts cannot take it

Smoke of blood 
Burning lungs 
Our chests cannot take it

We could be numb to it all
We could adapt to it all 
But not this",beirut,1
78,2020-08-04T22:00:12.000Z,"Your ruler does not care about you. Your ruler cares about his agenda & his money.

Read that again. Let it sink in.",beirut,1
79,2020-08-04T18:37:55.000Z,I wont comment on anything except I just came from hospital my daughter was Injured. 7 stitches Tha is God ,beirut,1
93,2020-08-04T20:10:38.000Z,"My tweeps. If any of you has no roof over his / her head tonight, we have 2 bedrooms in our house in Dbayeh waiting for you.",beirut,1
94,2020-08-04T16:31:32.000Z,PRAY FOR LEBANON ,beirut,1
95,2020-08-04T22:20:28.000Z,"We do not need prayers anymore, we need actions!

We’ve prayed for too long, if we do not help ourselves, God will not help us.

#EnoughIsEnough",beirut,1
96,2020-08-04T23:32:34.000Z,Are you not able to sleep too?,beirut,1
97,2020-08-04T16:25:34.000Z,I really hope all of you are okay and doing good and if u need help may it be materliastic or emotional please my dms are open.,beirut,1
98,2020-08-04T20:02:40.000Z,"For anyone affected by today’s explosion, I am ready to support as much as I can to help you recover from the damages faced. Plus I live Matn area and my house is open for those in need for a place to stay.
#YouAreNotAlone 
#انفجار_بيروت",beirut,1
99,2020-08-04T22:33:27.000Z,"How does one sleep after what we experienced today? This is all so surreal. Grateful that I’m fine, and my friends & family are all fine. Emotions are mixed between absorbing what happened, and so much anger toward everyone who’s been in power the past 45 years.",beirut,1
100,2020-08-04T19:08:23.000Z,"As a Lebanese citizen, I declare being 100% unsafe in Lebanon, and ask any International Force / Community to govern this country.",beirut,1
101,2020-08-04T17:00:28.000Z,"Can we at least respect the victims and not share videos or pictures of them.
Also can news stations stop filiming people who are injured, bleeding or in critical condition. This is not the time to ask them questions or what they saw or heard.
Thank you",beirut,1
112,2020-08-04T15:37:04.000Z,"So far early reports talk of a fireworks shipment explosion. Not very convincing. There was a small earthquake-like ""shake"" and heavy smoke in the port pier before the (second?) massive explosion. All scenarios are open.

#Beirut #beirut_explosion #lebanon24 #lebanon",beirut,1
113,2020-08-04T16:36:34.000Z,"I'm safe, like this if you are too?",beirut,1
114,2020-08-04T21:29:14.000Z,Years after 9/11 did we dare to assume the « inside job » status of the operation. I don’t exclude the Beirut port explosion being also an « inside job » by a party that feels threatened about their status in the region.,beirut,1
115,2020-08-04T20:49:52.000Z,Hope you never witness such moments. I'm traumatised still trying to remember what happened!,beirut,1
116,2020-08-04T23:16:33.000Z,"I have never seen in all my professional life what I saw tonight in all the hospital wards!
Catastrophic is not enough to describe the status!
This is too much for anyone to take!",beirut,1
117,2020-08-04T18:58:53.000Z,This country feels apocalyptic.,beirut,1
118,2020-08-04T17:14:07.000Z,"This is too much.. it’s just too much.. what have we, Lebanese, done to deserve this.. it’s heartbreaking ",beirut,1
0,2020-08-04T23:03:18.000Z,"I hate losing at Wembley, I hate losing the playoffs, I love Brentford - Goodnight ",london,0
1,2020-08-04T10:43:16.000Z,Trust me girls we don’t care if your boyfriend cheats on you it’s not everyday publicise your L’s you know,london,0
2,2020-08-04T16:17:38.000Z,"Guy in the back has family in middle east and reckons our Arab friends will be here from end of August till November. Bit of Hope.. Always take with a pinch of salt tho.
 #London #economy",london,0
3,2020-08-04T16:59:06.000Z,"Dear Junior Doctors who are leaving 
@NewhamHospital
 today - thank you from the bottom of my heart for everything you’ve given us over the past year. You have been amazing, inspiring, refreshing colleagues and we’ve been lucky to have you. Good luck in your future careers /1",london,0
4,2020-08-04T22:39:55.000Z,"For UK context, if that explosion happened in central London, any where within the M25 would have their windows smashed at bare minimum",london,0
5,2020-08-04T23:03:47.000Z,"That was for you Phil Edney 
 we done it mate beat that lot from other end of chiswick 
 ￼￼God bless mate 
xx 

Miss you tonight xx",london,0
6,2020-08-04T10:34:52.000Z,"To all readers 
Thank you so much for all the time and effort you put to create and put our free content for the collective on a daily basis. We appreciate you and love you. Sending all readers, healers, empaths, intuitives unconditional love, healing and blessings. ",london,0
7,2020-08-04T21:35:12.000Z,"All I’ve seen is Brentford fans banging on about doing the double over Fulham this season. Which ironically and mathematically stopped Fulham from being promoted automatically.

Only to beaten by them when it matters.. haha.

Poetic, Fulham.",london,0
8,2020-08-04T07:40:34.000Z,"Filming some Corona Virus Myth BUSTING today with some of my TV favs.

#Covid_19",london,0
9,2020-08-04T16:20:16.000Z,I can’t believe man are saying getting a girl a cab home is simping ,london,0
10,2020-08-04T16:04:10.000Z,A1. Hello my name is Rob Smith from Health Education England #Wearethenhs #OurNHSPeople,london,0
20,2020-08-04T20:56:09.000Z,"Personal view:  I have to say I’m disappointed in the NHS People Plan - despite a huge number of rainbows throughout the document 
 there is no specific mention of our LGBTQ+ or differently abled workforce. #OurNHSPeople",london,0
21,2020-08-04T22:34:26.000Z,Events in Beirut sort of put everything else into perspective. 2020 is relentless and I hope the final 4 months of the year offer some reprieve to those who have suffered most wherever they may be.,london,0
22,2020-08-04T21:43:24.000Z,"Parker trying not to cry, not gonna say I take back everything I've ever said about him but he is making a great argument for it!",london,0
23,2020-08-04T15:48:44.000Z,$LINK-pilling your friends and family is one of the purest forms of love ,london,0
24,2020-08-04T18:58:41.000Z,disturbing someones peace really is the most selfish thing ,london,0
25,2020-08-04T15:34:09.000Z,"Every single trans person is an absolute survivor & a hero.

Take a medal ",london,0
26,2020-08-04T19:50:24.000Z,"Just explaining the half time, erectile dysfunction ad to my 8 year old. Every day’s a school day... #FULBRE",london,0
27,2020-08-04T21:16:33.000Z,Fulham away then ,london,0
28,2020-08-04T13:58:25.000Z,I had a really vivid dream about buying stamps before I woke up and then my TL was full of Sherlock stamp news...,london,0
41,2020-08-04T13:35:27.000Z,"Pirelli puts Sunday failures down to wear, saying front left was under “maximum stress after a very high number of laps, with the resulting high wear meaning it was less protected from the extreme forces in play”.

Keeping softer compounds but will increase minimum pressures #F1",london,0
42,2020-08-04T14:08:29.000Z,"Ex-
@LUFC
 striker Kemar Roofe set to join 
@RangersFC
 - deal to be confirmed imminently. Impressed during short spell with Belgians Anderlecht.",london,0
43,2020-08-04T20:26:43.000Z,"I did nothing productive today 
. Let’s try again in the morning ",london,0
44,2020-08-04T21:00:20.000Z,Don't you dare make Raya a scapegoat for that. He's kept us in it so far and he's been fucking brilliant all season. If we do lose and you pin it all on him you're a fucking wanker,london,0
45,2020-08-04T22:10:27.000Z,"Solidarity with #Lebanon 

Those images are terrible, please be mindful with the shares peeps.

Please post or retweet fundraising links.",london,0
46,2020-08-04T18:18:18.000Z,"Who would've thought as lockdown started, when it began to lift we'd see a society that was less accessible, less understanding where medical treatment & social care was being withdrawn from disabled people?
We keep hearing 2020 is a disaster. Try being disabled eh?",london,0
47,2020-08-04T21:07:16.000Z,"Never really spoken about my drug use on here, but I’ve gone 8 months without any and 6 without actually wanting any. Kinda proud of that ",london,0
48,2020-08-04T22:55:18.000Z,Juan Pablo Angel.....Only the real premier league vets will know who that is and what he was on,london,0
49,2020-08-04T20:52:43.000Z,"Well done Ireland 
 well done 
@bbctms",london,0
50,2020-08-04T21:13:21.000Z,I am going to cry I am literally crying #FFC,london,0
51,2020-08-04T21:34:58.000Z,I LOVE YOUUUUUU FULHAM,london,0
52,2020-08-04T17:47:29.000Z,"Two years since I started at the incredible 
@Moorfields
. Staff have  provided emergency care  for our patients and over 100 staff were released to work in acute hospitals across london during the first wave. Proud of all our staff #nursing #teamCNO",london,0
53,2020-08-04T21:01:24.000Z,"A duaa for a latina sister who just converted to islam today. ALHAMDULILLAH 
! I’m so blessed to be a part of her journey & may Allaah keep her steadfast ‘Ameen.",london,0
54,2020-08-04T18:47:22.000Z,"Nadal was never going, Novak was always going. Moving right along ",london,0
55,2020-08-04T18:05:53.000Z,I’m still getting the same monthly salary as I was 10 years ago #NHSPay15 Thsnk you #BorisJohnson #matthancock,london,0
64,2020-08-04T21:58:19.000Z,"A lot of people on Twitter putting their 20/21 line ups & not seeing Ceballas in any of them 
 whoever Arsenal sign I for one want to see him in THE Arsenal team next season & BEYOND ",london,0
65,2020-08-04T19:42:21.000Z,"Jordan's Seismological Observatory: #Beirut explosion equivalent to 4.5 magnitude earthquake on Richter scale.

Thousands injured.",london,0
66,2020-08-04T19:13:16.000Z,Choosing a coffin for my mum is breaking me ,london,0
67,2020-08-04T19:48:22.000Z,"Am I a coding expert, or expert at googling?

Some would say they’re almost one in the same.",london,0
68,2020-08-04T21:24:41.000Z,"Well done, Scotty Parker.

Nice walk over the river for the away game “hopefully” next season! 
#BrentfordFC #OneOfOurOwn",london,0
72,2020-08-04T23:25:10.000Z,Man learning how to say no is hard ey ,london,0
73,2020-08-04T13:15:19.000Z,"Is making people go back to office work to help the economy? If the government really gave a flying flamingo they would rush to do a sensible trade deal with the EU, at the very least, then cancel the whole idiotic #brexitshambles .
So, what is it about? Corporate rents?",london,0
74,2020-08-04T21:01:07.000Z,"Had a meeting with my largest (Dutch) client this morning. He blew my mind at the end of meeting when he said ‘Dutch people really looking for UK to lead them out of EU’. Then explained, if there were ref in NL they’d probably vote out. He’s super bullish on UK",london,0
75,2020-08-04T23:36:55.000Z,"Imagine starting a production company where 3 of the directors of the company are producers, and they build an artist from scratch, brrrrrrrrrrrr",london,0
76,2020-08-04T22:04:51.000Z,Don't think I'll ever be able to enjoy a game of this shite sport ever again,london,0
77,2020-08-04T14:57:43.000Z,"Fancy A Dance runs this evening 
@Southwell_Races
 with 
@GavinSheehan
 onboard.",london,0
78,2020-08-04T16:50:48.000Z,"Shocked watching videos of explosion in #Beirut. Thoughts with friends and colleagues - Lebanese and 
@ukinlebanon
 - who I hope are well. A further unfair blow, to a country and people which are already struggling.",london,0
79,2020-08-04T17:40:06.000Z,"Surely the world can stop the conspiracy theories re the Lebanon blast & spare some concern for the dead, injured & their families?",london,0
80,2020-08-04T19:49:27.000Z,It's that time again! Horror choice! Best performance in The Exorcist ( There are so many!),london,0
81,2020-08-04T15:20:24.000Z,"Just because you’re not a white gay doesn’t mean you’re not going to be held accountable. 
Us Queer POCs also need to BEHAVE.",london,0
82,2020-08-04T21:51:16.000Z,"Congratulations 
@FulhamFC
. As a 
@BrentfordFC
 fan I am gutted, but I just want to sit in that new stadium with 
@MGlassup
 @Sharpie_Levy
 @ejronan81
 @BenGlassup
 @BeaverIniesta
 and watch my team play again! I love you Bentford, thank you for an amazing season.",london,0
83,2020-08-04T18:55:28.000Z,"Thank you to 
@katebrintworth
 for joining us for an exciting morning of interviewing 
@NorthMidNHS
. Lovely to be able to share the achievements of our midwives and our maternity unit with you today 
@ShereenNimmo
 @barbarakuypers
 #proud #yearofthenurseandmidwife",london,0
84,2020-08-04T18:40:19.000Z,"Today we renamed social distance 2physical distance in an effort 2emphasis the fact that folk can b around others but maintain a physical distance.

I’ve defo been less sociable rooted in a semi irrational fear of making others sick.
mask
sanitise / wash hands 
distance",london,0
85,2020-08-04T23:56:58.000Z,Reminder that 1200 calories is the approximation number of calories a TODDLER needs daily. No fully grown adult should be trying to survive on that. #howtoloseweightwell,london,0
86,2020-08-04T22:51:34.000Z,The footage of that explosion itself is soul shaking. I’m sending my love and prayers to everyone affected.,london,0
87,2020-08-04T18:19:56.000Z,"In 2020, with everything going on in the world, to hear that 100 municpalities in our sister European country have declared as LGBTQ Free Zones. Makes me feel sick to my stomach. Well done EU for taking a stand. Stand against bullies. Stand against hate. Stand against homophobia.",london,0
88,2020-08-04T18:28:08.000Z,"I’ve been working on a large enemy for something secret... and I’ve essentially stuck a Squid’s head 
 onto a Spider’s body 
... though the body looks like a colon 
 It looks pretty awesome though! 
#pixelart #gamedev",london,0
89,2020-08-04T19:19:07.000Z,"Oh typical. After a day talking chronic pain, I'm doing my exercises that are meant to help manage it, some things goes click in my back & bingo, breakthrough pain. Yeah, I'll just mediate or do yoga or mindfulness or hop on one leg. Or take meds.",london,0
90,2020-08-04T19:40:06.000Z,"Klarna 
will 
damage
your
credit
score
Dont
use
it
if
you
dont
have
to!",london,0
91,2020-08-04T20:28:08.000Z,"#TeamWingate played out an eventful 3-3 draw with 
@hanwelltownfc
 today, coming back from 3-1 down in our first pre season friendly of 2020-21.",london,0
101,2020-08-03T20:34:12.000Z,Can you remember to pay the full tip/service charge to your serving staff when you #EatOutToHelpOut please ,london,0
102,2020-08-04T22:35:56.000Z,Has everyone had enough water today then?,london,0
103,2020-08-04T17:03:19.000Z,"A great session from 
@johntomsett
 and 
@ROptimism
 with 
@TheNCE_
 really thought provoking #summerlearning #masters 
@WomenEd",london,0
104,2020-08-04T22:50:13.000Z,"3v3 $300 
@Goorilaa
 Superbot #Champs w/ 
@rhorer_
 @Finessen
  
#ImTheBestSuperBot ",london,0
105,2020-08-04T16:58:36.000Z,"Those who know and understand about #Diwali and #LordRam , finally temple getting constructed at Lord Ram’s Birth Place, #Ayodhya after 500 years from 5th August, 2020. 

#RamMandirAyodhya 
#AyodhyaRamMandir 
#BritishHindus 

How do you feel about this moment?",london,0
106,2020-08-04T18:43:14.000Z,C’mon Fulham! COYWS! As Fulham chairman Tommy Trinde said 60 years ago - ‘You lucky people!’ Let’s hope Fulham are!,london,0
107,2020-08-04T08:47:16.000Z,My new gauge of how confident the public are is how busy Pret is in Covent Garden when I walk past. 3 people in there. Confidence is still low. #DataScience #inisght,london,0
108,2020-08-04T20:38:05.000Z,Shall we just skip to the pens? I was hoping for more I have to admit #FULBRE,london,0
109,2020-08-04T12:36:18.000Z,"why is it black men with non black girlfriends or wives always have a lot to say, my ears are very much CLOSED ",london,0
110,2020-08-04T17:00:35.000Z,"It goes without saying but thoughts go out to everyone affected by the explosion in Beirut. 

It’s also not helpful or considerate to anyone affected for Twitter to start speculating about what caused it. Wait for the actual experts to do their jobs.",london,0
111,2020-08-04T16:30:38.000Z,"Lovely to see everyone (digitally) at the 
@Housing_Justice
 shelter Forum today. Thanks 
@Markgb62
 for having me to speak about the way 
@kcahtweets
 have utilised our amazing volunteers throughout the pandemic.",london,0
112,2020-08-04T20:02:22.000Z,I really dislike Twitter pile-ons,london,0
113,2020-08-04T21:41:07.000Z,"Do someting today that your future self will thank you for. Transform your body, one healthy meal at a time.
#makeyourselfproud",london,0
114,2020-08-04T13:23:58.000Z,I find it incomprehensible that the recently retired Archbishop of York John Sentanu has not been told to pick up a bit of sable on his way to the House of Lords - he so diserves it! Disgraceful omission,london,0
115,2020-08-04T11:33:44.000Z,"UK govt making good progress on reducing just one source of carbon emissions -electricity generation.
Down 10% in 2018.
Down another 9% in 2019.
Zero carbon grid by 2025 utterly possible, with political will.
#ExtinctionRebellion",london,0
116,2020-08-04T19:51:15.000Z,"Before I even attempt playing it later, how long does it take to install The Last of Us 2 on the PS4? I notice it’s two disks...
Yours sincerely 
A man with no time and a baby.",london,0
117,2020-08-04T21:21:56.000Z,"‘A thousand little civilities create tenderness in time..’
E.M. Forster~ A Room with a View

#duvetland",london,0
118,2020-08-04T19:52:46.000Z,I’ve been around long enough to remember when actual companies thought it was acceptable to unironically advertise for a “JavaScript Ninja”,london,0
119,2020-08-04T20:20:27.000Z,"I’ve done eat out to help out breakfast, dinner and tea today and spent less than £15. Stunning.",london,0
120,2020-08-04T20:18:08.000Z,Several months into a pandemic and working from home for many and people still don't know how to use Zoom/Teams ,london,0
121,2020-08-04T22:11:33.000Z,"Hey all, in a moment like this, when aid is needed immediately, where’s the best place to donate some money to help those in Beirut?",london,0
122,2020-08-04T21:14:37.000Z,I don’t care what anyone is saying the FA have to check through the Brentford keepers phone and check his betting accounts cos what I kinda nonesense he dealing with tonight ,london,0
123,2020-08-04T09:37:26.000Z,"Very excited to announce I’m going to be making my first international trip in 5 months next week (no flying of course!) 
So pumped for a bit of 
 & 
  !
Can you guess which region I’m heading to?

#BWSP #ttot #travel #flightfree2020 #ecotravel #travelblogger 
@EurostarUK",london,0
138,2020-08-04T17:25:57.000Z,"F**k you 
@BBCNews
. Covering the 
@NICEComms
 pain treatment story with someone with a knee injury who got hooked on meds by not following the existing guidance & having no one who actually lives with chronic pain proves you aren't worthy of the name news. Disgusted.",london,0
139,2020-08-04T21:46:49.000Z,"Loved Scott Parker as a player and love him just as much as a manager. The humility of this guy absolutely love him. Congratulations to Fulham. What a guy 
 #Fulham #Scottparker #Playoffs",london,0
140,2020-08-04T16:19:02.000Z,Spoons withdrawals,london,0
141,2020-08-04T15:32:11.000Z,"Remember when Everton played Everton?

10 years ago today was the first meeting between the team from Liverpool and their Chilean namesakes from Viña del Mar, which was founded in 1909 after the English club's pre-season tour of South America.",london,0
142,2020-08-04T13:12:48.000Z,"Man City have signed Ferran Torres for 25m and Nathan Ake for 40m.

These are 2 players United could have signed if they had sensible folks in charge of their recruitment.

The gag is City will still end up doing better than them next season with their 150m signings.",london,0
143,2020-08-04T11:41:47.000Z,"Yesterday most people said they do believe in free will. Do you believe in it after reading the thread below? 
 Say why in the comments.",london,0
144,2020-08-04T18:57:26.000Z,Sorry I still cannot get my head around why Boris Johnson would give Evgeny Lebedev a knighthood. I mean what on earth could he have done to warrant such a prize - delivered kompromat on Putin (joke). It’s inexcusable.,london,0
145,2020-08-04T17:56:23.000Z,"Crime solicitors: What is a ""normal"" number of hours to work per day? And by per day, as we work police station overnights as well, I mean within a 24 hours period? I'll go first. Over the last week I've averaged 14 hrs a day. This includes the weekend. In my book, this means I",london,0
146,2020-08-04T21:01:11.000Z,*Adds David Raya underneath Phil Jones on list of ex-Blackburn players I will always defend regardless of what they do*,london,0
0,2020-08-04T23:59:53.000Z,should I say “the great game” after my tip loses to sound astute,ottowa,0
1,2020-08-04T23:59:56.000Z,Every successful person has a story to tell...,ottowa,0
2,2020-08-04T23:59:59.000Z,just got tested for covid and as soon as the nurse pulled the swab out of my frontal lobe she dropped it on the ground.,ottowa,0
3,2020-08-04T23:59:55.000Z,"If you're breathing, 
you're still in the game.",ottowa,0
4,2020-08-04T23:59:50.000Z,Durk had to go live to show us he was on the plane when that happen,ottowa,0
5,2020-08-04T23:59:48.000Z,OMFG I GOT APPROVED FOR MY BBL LOAN LMAOOOOO!!,ottowa,0
6,2020-08-04T23:59:58.000Z,"Date fine boy u say no
U see now u can't do lomotif",ottowa,0
7,2020-08-04T23:59:43.000Z,I want all my friends to get recognized for their talents,ottowa,0
8,2020-08-04T23:59:52.000Z,U only exist if I allow you to this my world!,ottowa,0
9,2020-08-04T23:59:47.000Z,i’m hot but only when i’m wearing sunglasses in a small town liquor store,ottowa,0
10,2020-08-04T23:59:51.000Z,living at mac is just being forced to choose between shopping at kowalskis and whole foods,ottowa,0
11,2020-08-04T23:59:56.000Z,the government should just pay for all education full stop,ottowa,0
12,2020-08-04T23:59:43.000Z,"HOLY COW.

I am shaking. That was incredible.

Looked like a successful hop! Stand by for official confirmation, though! 
 #Starship #SN5",ottowa,0
13,2020-08-04T23:59:46.000Z,"Chicago rapper FBG Duck has passed away, RIP ",ottowa,0
